Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BSE,EQ,25-Feb-21,580.05,590,592.05,580.1,581,581.5,583.94,288713,168590025.1,5983
BSE,EQ,26-Feb-21,581.5,573,590,572.35,581.95,581.5,579.24,527580,305597776.5,15155
BSE,EQ,01-Mar-21,581.5,585,587.5,576.1,577.6,577.15,579.71,297967,172735707.2,8485
BSE,EQ,02-Mar-21,577.15,582.35,593,582.35,587,587,587.29,380127,223246551.5,16939
BSE,EQ,03-Mar-21,587,591,596,585.9,593.5,593.45,591.37,336165,198797945.3,14414
BSE,EQ,04-Mar-21,593.45,590,608.75,584.7,598.95,599.15,598.05,489534,292768000,16107
BSE,EQ,05-Mar-21,599.15,596.1,601.15,583,585.85,585,589.93,344798,203406194.3,13536
BSE,EQ,08-Mar-21,585,589,590.2,578,583,581,582.9,244347,142429004.7,8785
BSE,EQ,09-Mar-21,581,585,591.65,583,586.1,586.8,587.09,230268,135187144.8,10824
BSE,EQ,10-Mar-21,586.8,590,593,585,586.4,586.55,588,141222,83038781.5,4785
BSE,EQ,12-Mar-21,586.55,589,591.7,581.9,581.9,584.95,587.58,243509,143081956.6,8732
BSE,EQ,15-Mar-21,584.95,586.5,587.9,571,573,574.35,575.74,272130,156676379.2,8358
BSE,EQ,16-Mar-21,574.35,578.8,578.95,570,570.95,571.15,573.77,340450,195340420.7,8824
BSE,EQ,17-Mar-21,571.15,574.4,576.45,567.5,571.3,572.05,571.41,300266,171575197.1,6607
BSE,EQ,18-Mar-21,572.05,577,578,566.2,571,571,572.14,235637,134816546.8,6151
BSE,EQ,19-Mar-21,571,571,574.7,552.95,565.05,566.65,563.59,245929,138603299.4,9614
BSE,EQ,22-Mar-21,566.65,571.7,572,562.4,567.95,568.55,567.83,153531,87179729.8,4678
BSE,EQ,23-Mar-21,568.55,570,572,563.5,563.55,565.6,567.99,182399,103601533.1,5764
BSE,EQ,24-Mar-21,565.6,563.6,565.3,558,560.5,559.3,561.29,252554,141755771.4,6821
